baseDate,fcstTime,fcstValue,position,category,baseTime,fcstDate
20140715,1800,0,Haeundae,PTY,1400,20140715
20140715,1800,0,Haeundae,R06,1400,20140715
20140715,1800,0,Haeundae,S06,1400,20140715
20140715,1800,0,Haeundae,TMN,1400,20140715
20140715,1800,0,Haeundae,TMX,1400,20140715
20140715,1800,0.5,Haeundae,WAV,1400,20140715
20140715,1800,1.8,Haeundae,VVV,1400,20140715
20140715,1800,2.8,Haeundae,UUU,1400,20140715
20140715,1800,3.3,Haeundae,WSD,1400,20140715
20140715,1800,4,Haeundae,SKY,1400,20140715
